Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2022/60344 ;19.08.2022 11:51;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, SADY 5. KVÌTNA 59 
2022/58928 ;11.09.2022 8:58;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, LEDECKÁ 21 
2022/58819 ;10.09.2022 11:49;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Kaznìjovská 1 
2022/58814 ;10.09.2022 11:36;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, POD VŠEMI SVATÝMI 69 
2022/58798 ;10.09.2022 12:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, KØÍŽKOVA 
2022/58730 ;09.09.2022 14:03;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, NAD ZOO 
2022/58698 ;09.09.2022 23:50;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, STARÁ CESTA 12 
2022/58036 ;06.09.2022 22:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, 28. ØÍJNA 8 
2022/57765 ;06.09.2022 1:11;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, LOCHOTÍNSKÁ 30 
2022/56678 ;01.09.2022 13:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, HØBITOVNÍ 11 
2022/56539 ;31.08.2022 15:52;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE KUKAÈCE 21 
2022/56458 ;31.08.2022 8:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, SOKOLOVSKÁ 27 
2022/56428 ;31.08.2022 7:40;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Halštatská 7 
2022/56262 ;30.08.2022 7:17;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, HØBITOVNÍ 
2022/55813 ;26.08.2022 19:36;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, MANÌTÍNSKÁ 33 
2022/55752 ;28.08.2022 8:15;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, LINDAUEROVA 12 
2022/55750 ;28.08.2022 9:20;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NÁMÌSTÍ REPUBLIKY 39 
2022/55747 ;28.08.2022 10:22;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NÁMÌSTÍ REPUBLIKY 2 
2022/55740 ;28.08.2022 7:09;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, ŠAFAØÍKOVY SADY 3 
2022/55694 ;28.08.2022 2:23;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, SOKOLOVSKÁ 74 
2022/55643 ;27.08.2022 19:20;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, OPAVSKÁ 52 
2022/55521 ;27.08.2022 7:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, PALLOVA 22 
2022/55518 ;27.08.2022 7:50;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NÁMÌSTÍ REPUBLIKY 37 
2022/55517 ;27.08.2022 7:35;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, SOLNÍ 19 
2022/54491 ;22.08.2022 13:18;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, SOUSEDSKÁ 9 
2022/54325 ;21.08.2022 4:38;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, V MALÉ DOUBRAVCE 1 
2022/53869 ;19.08.2022 10:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KOTKOVA 
2022/53749 ;18.08.2022 19:35;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, POPELNICOVÁ 47 
2022/53748 ;18.08.2022 19:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, STANIÈNÍ 65 
2022/52910 ;14.08.2022 14:50;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE SV. JIØÍ 15 
2022/52908 ;14.08.2022 14:46;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE SV. JIØÍ 15 
2022/52887 ;14.08.2022 12:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE SV. JIØÍ 
2022/52435 ;11.08.2022 12:40;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, DLOUHÁ 59 
2022/52169 ;10.08.2022 15:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE SV. JIØÍ 
2022/51340 ;06.08.2022 5:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, SLEZSKÁ 9 
2022/51063 ;04.08.2022 15:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, MASARYKOVA 90a 
2022/51046 ;04.08.2022 11:27;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, MOHYLOVÁ 119 
2022/51027 ;04.08.2022 12:10;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, ŽLUTICKÁ 11 
2022/50807 ;03.08.2022 11:47;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, V ZAHRÁDKÁCH 2 
2022/50329 ;01.08.2022 11:54;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, REPUBLIKÁNSKÁ 6 
2022/50265 ;01.08.2022 7:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, POD VRCHEM 28 
2022/50225 ;28.06.2022 14:40;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, SOKOLOVSKÁ 37 
2022/50192 ;31.07.2022 19:05;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, POD ŠVABINAMI 40 
2022/49907 ;19.06.2022 14:36;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, POD STRÁŽÍ 13 
2022/49874 ;29.07.2022 19:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NA KOVÁRNÌ 23 
2022/49873 ;29.07.2022 19:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, HØBITOVNÍ 11 
